fixedacidity;volatileacidity;citricacid;residualsugar;chlorides;freesulfurdioxide;totalsulfurdioxide;density;pH;sulphates;alcohol;quality
4,7;,67;,09;1;,02;5;9;,98722;3,3;,34;13,6;3
7,5;,24;,31;13,1;,05;26;180;,99884;3,05;,53;9,1;4
6,3;,2;,18;10,6;,045;57;159;,99666;3,09;,54;9,2;3
6,6;,28;,23;10,4;,049;45;190;,99754;3,12;,51;8,8;3
8,5;,18;,3;1,1;,028;34;95;,99272;2,83;,36;10;2
6,5;,35;,38;7,4;,036;20;196;,99712;3,47;,48;9,1;4
6,8;,22;,26;1,2;,041;29;182;,99104;3,04;,35;11,2;3
6,3;,18;,24;3,4;,053;20;119;,99373;3,11;,52;9,2;4
6,6;,26;,22;18,15;,05;23;139;,99904;3,06;,5;9,2;3
6,6;,3;,45;8;,038;54;200;,9956;3,18;,48;9,5;3
6,3;,34;,27;2,5;,024;40;152;,99095;3,35;,6;11,9;5
7,7;,3;,23;2;,068;28;138;,99382;3,11;,62;9,8;3
7,7;,31;,23;2;,069;29;134;,99382;3,11;,62;9,8;3
5,7;,265;,28;6,9;,036;46;150;,99299;3,36;,44;10,8;5
6,6;,26;,28;9,4;,028;13;121;,99254;3,17;,34;12,1;4
5,7;,265;,28;6,9;,036;46;150;,99299;3,36;,44;10,8;5
7,5;,28;,41;1,3;,044;11;126;,99293;3,28;,45;10,3;3
6,2;,22;,2;20,8;,035;58;184;1,00022;3,11;,53;9;4
7,5;,28;,41;1,3;,044;11;126;,99293;3,28;,45;10,3;3
6,5;,19;,34;1,6;,029;39;116;,98954;3,21;,68;12,5;4
6;,21;,29;13,1;,042;28;125;,99936;3,39;,45;8,6;3
6,5;,32;,48;8;,026;18;88;,99144;3,22;,79;12,7;2
7,1;,21;,72;1,6;,167;65;120;,99324;2,97;,51;9,2;3
5,6;,26;,18;1,4;,034;18;135;,99174;3,32;,35;10,2;4
7;,15;,28;14,7;,051;29;149;,99792;2,96;,39;9;5
7;,15;,28;14,7;,051;29;149;,99792;2,96;,39;9;5
7;,15;,28;14,7;,051;29;149;,99792;2,96;,39;9;5
7;,15;,28;14,7;,051;29;149;,99792;2,96;,39;9;5
7;,15;,28;14,7;,051;29;149;,99792;2,96;,39;9;5
7;,15;,28;14,7;,051;29;149;,99792;2,96;,39;9;5
7;,15;,28;14,7;,051;29;149;,99792;2,96;,39;9;5
7,4;,27;,28;1,8;,04;45;121;,99043;3,02;,4;11,9;3
6,8;,22;,3;10,6;,07;67;194;,99654;2,89;,42;9;4
6,2;,24;,25;12,5;,055;47;134;,99758;3,3;,51;9;3
6,3;,28;,29;6,8;,051;40;143;,99374;3,43;,59;11;4
7;,15;,28;14,7;,051;29;149;,99792;2,96;,39;9;5
5,5;,17;,23;2,9;,039;10;108;,99243;3,28;,5;10;3
6,5;,26;,34;1,4;,04;25;184;,99216;3,29;,46;10,7;3
6,6;,27;,33;1,4;,042;24;183;,99215;3,29;,46;10,7;3
5,4;,46;,15;2,1;,026;29;130;,98953;3,39;,77;13,4;6
6,5;,26;,34;1,4;,04;25;184;,99216;3,29;,46;10,7;3
6,6;,27;,33;1,4;,042;24;183;,99215;3,29;,46;10,7;3
7,8;,2;,32;5;,016;31;101;,99186;2,99;,39;11;4
6,1;,17;,28;2,5;,028;22;98;,99072;3,16;,37;11,1;5
7,4;,2;,35;6,1;,025;10;40;,99244;2,79;,52;10,9;3
6,7;,39;,24;2,7;,017;22;80;,99084;3,03;,37;11,5;3
5,4;,46;,15;2,1;,026;29;130;,98953;3,39;,77;13,4;6
6,9;,4;,17;12,9;,033;59;186;,99754;3,08;,49;9,4;3
6,9;,4;,17;12,9;,033;59;186;,99754;3,08;,49;9,4;3
6,3;,24;,29;13,7;,035;53;134;,99567;3,17;,38;10,6;4
6,9;,4;,17;12,9;,033;59;186;,99754;3,08;,49;9,4;3
7,4;,27;,31;2,4;,014;15;143;,99094;3,03;,65;12;2
6,1;,27;,28;9,8;,042;61;125;,99532;3,14;,42;10,2;4
6,3;,24;,29;13,7;,035;53;134;,99567;3,17;,38;10,6;4
5;,61;,12;1,3;,009;65;100;,9874;3,26;,37;13,5;3
6,7;,42;,39;12,1;,04;61;248;,99794;3,31;,58;9,7;3
6,5;,33;,28;6,1;,018;41;103;,99122;3,24;,32;12,2;4
6,5;,33;,28;6,1;,018;41;103;,99122;3,24;,32;12,2;4
6,3;,15;,3;1,4;,022;38;100;,99099;3,42;,57;11,4;5
6,5;,32;,45;7,7;,022;31;97;,99134;3,2;,7;12,7;5
6,7;,42;,39;12,1;,04;61;248;,99794;3,31;,58;9,7;3
7,4;,25;,29;6,8;,02;31;113;,99338;3,13;,29;10,8;4
6,4;,27;,45;8,3;,05;52;196;,9955;3,18;,48;9,5;3
6,5;,25;,27;17,4;,064;29;140;,99776;3,2;,49;10,1;4
5,6;,19;,31;2,7;,027;11;100;,98964;3,46;,4;13,2;5
7,4;,29;,48;12,8;,037;61,5;182;,99808;3,02;,34;8,8;3
6,4;,34;,44;8,2;,043;54;201;,99551;3,18;,48;9,5;3
6,6;,27;,52;8,1;,044;53;202;,99548;3,18;,48;9,5;3
6,6;,26;,52;8,2;,047;52;191;,99541;3,16;,47;9,5;4
6,4;,27;,45;8,3;,05;52;196;,9955;3,18;,48;9,5;3
6,5;,26;,5;8;,051;46;197;,99536;3,18;,47;9,5;3
6,8;,25;,3;11,8;,043;53;133;,99524;3,03;,58;10,4;4
6,3;,32;,26;12;,049;63;170;,9961;3,14;,55;9,9;4
6,6;,13;,29;13,9;,056;33;95;,99702;3,17;,39;9,4;4
7;,39;,21;10,7;,098;13;91;,99657;3,03;,47;9,3;3
7,9;,21;,39;2;,057;21;138;,99176;3,05;,52;10,9;3
7;,3;,28;2,2;,042;21;177;,99166;3,2;,57;11,4;3
8,1;,2;,3;1,3;,036;7;49;,99242;2,99;,73;10,3;3
8,3;,18;,3;1,1;,033;20;57;,99109;3,02;,51;11;4
7,9;,21;,39;2;,057;21;138;,99176;3,05;,52;10,9;3
7,2;,17;,34;6,4;,042;16;111;,99278;2,99;,4;10,8;4
8,1;,2;,3;1,3;,036;7;49;,99242;2,99;,73;10,3;3
8,3;,18;,3;1,1;,033;20;57;,99109;3,02;,51;11;4
6,8;,21;,62;6,4;,041;7;113;,99358;2,96;,59;10,2;3
6,9;,21;,62;6,3;,042;7;109;,99358;2,96;,59;10,2;4
7,2;,17;,34;6,4;,042;16;111;,99278;2,99;,4;10,8;4
6,8;,26;,34;15,1;,06;42;162;,99705;3,24;,52;10,5;1
7,2;,28;,38;2;,052;23;156;,9912;3,13;,52;11,1;3
7,9;,21;,39;2;,057;21;138;,99176;3,05;,52;10,9;3
7;,3;,28;2,2;,042;21;177;,99166;3,2;,57;11,4;3
7,4;,34;,28;12,1;,049;31;149;,99677;3,22;,49;10,3;3
6,3;,43;,32;8,8;,042;18;106;,99172;3,28;,33;12,9;5
6,3;,4;,24;5,1;,036;43;131;,99186;3,24;,44;11,3;4
5,1;,35;,26;6,8;,034;36;120;,99188;3,38;,4;11,5;4
6,9;,28;,28;12,2;,042;52;139;,99522;3,03;,56;10,4;4
7;,33;,28;5,7;,033;39;204;,99176;3,17;,64;12,5;4
6,7;,26;,49;8,1;,052;48;197;,99558;3,19;,48;9,5;3
6,7;,46;,21;4;,034;12;88;,99016;3,26;,54;13;4
5,1;,35;,26;6,8;,034;36;120;,99188;3,38;,4;11,5;4
5,1;,23;,18;1;,053;13;99;,98956;3,22;,39;11,5;3
6,3;,4;,24;5,1;,036;43;131;,99186;3,24;,44;11,3;4
7,1;,44;,23;5,8;,035;24;100;,99062;3,15;,57;13,2;5
4,8;,26;,23;10,6;,034;23;111;,99274;3,46;,28;11,5;5
6,8;,31;,19;3,5;,086;30;130;,993;2,83;,44;9,6;3
6,8;,31;,19;3,5;,086;30;130;,993;2,83;,44;9,6;3
7;,15;,29;16,4;,058;45;110;,9978;3,15;,37;9,7;4
6,5;,41;,22;4,8;,052;49;142;,9946;3,14;,62;9,2;3
6,2;,31;,23;3,3;,052;34;113;,99429;3,16;,48;8,4;3
8;,27;,33;1,2;,05;41;103;,99002;3;,45;12,4;4
6,2;,31;,23;3,3;,052;34;113;,99429;3,16;,48;8,4;3
6,6;,21;,5;8,7;,036;41;191;,99294;2,96;,56;11;4
7,5;,34;,28;4;,028;46;100;,98958;3,2;,5;13,2;5
6,7;,37;,25;2,5;,028;24;84;,9909;3,14;,36;11,7;4
6,4;,32;,23;16,2;,055;36;176;,9986;3,26;,54;9,1;3
6,7;,24;,32;9;,023;20;109;,99262;3,34;,35;12,6;4
7,1;,39;,79;1,4;,194;23;90;,99212;3,17;,46;10,5;4
8,2;,31;,43;7;,047;18;87;,99628;3,23;,64;10,6;3
6,7;,24;,32;9;,023;20;109;,99262;3,34;,35;12,6;4
5,9;,17;,29;3,1;,03;32;123;,98913;3,41;,33;13,7;5
5,9;,2;,23;1,5;,037;38;93;,99021;3,36;,49;12;4
6,6;,32;,26;4,6;,031;26;120;,99198;3,4;,73;12,5;5
5,9;,12;,27;4,8;,03;40;110;,99226;3,55;,68;12,1;4
5,9;,18;,29;4,6;,032;68;137;,99159;3,21;,38;11,3;4
5,9;,2;,23;1,5;,037;38;93;,99021;3,36;,49;12;4
6,1;,21;,3;6,3;,039;47;136;,99068;3,27;,31;12,7;4
7,3;,25;,26;7,2;,048;52;207;,99587;3,12;,37;9,2;3
6,2;,22;,3;12,4;,054;108;152;,99728;3,1;,47;9,5;4
6,5;,27;,19;6,6;,045;98;175;,99364;3,16;,34;10,1;4
6,5;,27;,19;6,6;,045;98;175;,99364;3,16;,34;10,1;4
6,6;,39;,22;4;,038;17;98;,99018;3,25;,53;13;5
6;,31;,38;4,8;,04;41;101;,98968;3,24;,56;13,1;4
8,4;,23;,32;1,3;,048;59;113;,99178;3,1;,55;11;4
6;,22;,25;11,1;,056;112;177;,9961;3,08;,36;9,4;4
6,2;,22;,3;12,4;,054;108;152;,99728;3,1;,47;9,5;4
6,1;,23;,27;9,8;,055;74;134;,99534;3,16;,4;10,2;4
6,5;,27;,19;6,6;,045;98;175;,99364;3,16;,34;10,1;4
7,3;,36;,54;13,3;,054;63;193;,99864;3,06;,49;8,6;2
7,6;,37;,51;11,7;,094;58;181;,99776;2,91;,51;9;3
6,7;,26;,51;8;,062;50;194;,99545;3,13;,5;9,6;3
7,4;,22;,27;1,6;,057;45;98;,99299;3,29;,44;9,9;5
6,1;,22;,28;16,55;,059;54;135;,99665;3,2;,38;10,5;3
7,1;,28;,31;1,5;,053;20;98;,99069;3,15;,5;11,4;3
6,5;,35;,31;10,2;,069;58;170;,99692;3,18;,49;9,4;3
6,8;,73;,2;6,6;,054;25;65;,99324;3,12;,28;11,1;2
6;,28;,24;17,8;,047;42;111;,99896;3,1;,45;8,9;4
6;,28;,24;17,8;,047;42;111;,99896;3,1;,45;8,9;4
7,1;,2;,37;1,5;,049;28;129;,99226;3,15;,52;10,8;3
6,8;,33;,31;7,4;,045;34;143;,99226;3,06;,55;12,2;4
7,2;,24;,36;2;,029;21;63;,99076;3,13;,63;12,5;4
6,8;,33;,31;7,4;,045;34;143;,99226;3,06;,55;12,2;4
7,2;,24;,36;2;,029;21;63;,99076;3,13;,63;12,5;4
6;,28;,24;17,8;,047;42;111;,99896;3,1;,45;8,9;4
6,4;,38;,26;8,2;,043;28;98;,99234;2,99;,31;11,4;4
7,1;,2;,37;1,5;,049;28;129;,99226;3,15;,52;10,8;3
5,9;,435;,16;6,4;,031;21;134;,99151;3,24;,46;12,2;4
7;,25;,33;2,1;,021;17;76;,99021;3,26;,45;12,3;4
7;,24;,3;12,3;,035;72;172;,9954;2,99;,57;10,4;4
8,5;,23;,34;1,3;,035;54;110;,99176;3,07;,55;11;5
6;,21;,3;8,7;,036;47;127;,99368;3,18;,39;10,6;3
7;,34;,1;3,5;,044;17;63;,9937;3,01;,39;9,2;3
6,1;,22;,38;2,8;,144;12;65;,9908;2,95;,64;11,4;4
5,8;,27;,26;3,5;,071;26;69;,98994;3,1;,38;11,5;4
5;,455;,18;1,9;,036;33;106;,98746;3,21;,83;14;5
6,5;,33;,3;3,8;,036;34;88;,99028;3,25;,63;12,5;5
6,2;,39;,24;4,8;,037;45;138;,99174;3,23;,43;11,2;5
6,2;,39;,24;4,8;,037;45;138;,99174;3,23;,43;11,2;5
7,1;,37;,3;6,2;,04;49;139;,99021;3,17;,27;13,6;4
6,5;,33;,3;3,8;,036;34;88;,99028;3,25;,63;12,5;5
7,2;,25;,32;1,5;,054;24;105;,99154;3,17;,48;11,1;4
6,2;,39;,24;4,8;,037;45;138;,99174;3,23;,43;11,2;5
4,7;,455;,18;1,9;,036;33;106;,98746;3,21;,83;14;5
7,1;,37;,3;6,2;,04;49;139;,99021;3,17;,27;13,6;4
6,2;,28;,51;7,9;,056;49;206;,9956;3,18;,52;9,4;3
7,3;,36;,34;14,8;,057;46;173;,99751;3,14;,57;10,2;3
6,7;,31;,3;2,4;,038;30;83;,98867;3,09;,36;12,8;5
8,6;,31;,3;,9;,045;16;109;,99249;2,95;,39;10,1;3
8,6;,31;,3;,9;,045;16;109;,99249;2,95;,39;10,1;3
8,6;,22;,33;1,2;,031;38;95;,99239;2,83;,31;10,3;3
6,9;,14;,29;9,9;,056;30;91;,99512;3,19;,33;9,9;4
6,5;,22;,31;3,9;,046;17;106;,99098;3,15;,31;11,5;3
6,6;,32;,47;15,6;,063;27;173;,99872;3,18;,56;9;3
6,6;,32;,47;15,6;,063;27;173;,99872;3,18;,56;9;3
6,1;,28;,26;1,5;,03;25;101;,98894;3,03;,41;12,1;4
6,2;,3;,28;1,6;,036;28;106;,988245;3,14;,41;13,3;4
8,7;,31;,21;5,6;,039;28;67;,99328;2,96;,52;11;2
7,3;,27;,3;1,3;,04;26;84;,99222;3,28;,53;10,7;4
7;,46;,2;16,7;,046;50;184;,99898;3,08;,56;9,4;3
5,7;,23;,25;7,95;,042;16;108;,99486;3,44;,61;10,3;4
8,2;,18;,38;1,1;,04;41;92;,99062;2,88;,6;12;4
6,2;,27;,32;6,3;,048;47;159;,99282;3,21;,6;11;4
4,9;,345;,34;1;,068;32;143;,99138;3,24;,4;10,1;3
7,2;,23;,39;1,5;,053;26;106;,99166;3,18;,47;11,1;4
6,4;,2;,15;6,6;,046;26;113;,99408;2,99;,58;9,9;4
6,1;,27;,32;6,2;,048;47;161;,99281;3,22;,6;11;4
6,2;,27;,32;6,3;,048;47;159;,99282;3,21;,6;11;4
6;,3;,33;2,1;,042;31;127;,98964;3,32;,42;12,5;4
6,9;,4;,37;8,9;,053;36;148;,996;3,16;,5;9,3;3
4,9;,345;,34;1;,068;32;143;,99138;3,24;,4;10,1;3
6,3;,33;,2;17,9;,066;36;161;,9991;3,14;,51;8,8;3
7;,16;,3;2,6;,043;34;90;,99047;2,88;,47;11,2;4
8,4;,22;,3;1,3;,038;45;122;,99178;3,13;,54;10,8;5
6,3;,33;,2;17,9;,066;36;161;,9991;3,14;,51;8,8;3
7;,16;,3;2,6;,043;34;90;,99047;2,88;,47;11,2;4
5,4;,24;,18;2,3;,05;22;145;,99207;3,24;,46;10,3;3
7,7;,31;,36;4,3;,026;15;87;,99152;3,11;,48;12;3
5,6;,185;,19;7,1;,048;36;110;,99438;3,26;,41;9,5;4
6,6;,43;,24;11,9;,04;54;159;,99622;3,14;,54;9,8;4
7,6;,39;,46;11,7;,084;55;170;,99773;2,91;,51;9;3
7,2;,58;,27;5,8;,032;40;118;,99088;3,17;,53;13;5
6;,34;,32;3,8;,044;13;116;,99108;3,39;,44;11,8;5
7,5;,35;,48;12,4;,056;61;176,5;,99803;2,97;,52;8,8;3
7,3;,38;,23;6,5;,05;18;102;,99304;3,1;,55;11,2;2
5,4;,185;,19;7,1;,048;36;110;,99438;3,26;,41;9,5;4
6,3;,27;,51;7,6;,049;35;200;,99548;3,16;,54;9,4;2
6,5;,29;,52;7,9;,049;35;192;,99551;3,16;,51;9,5;4
6,4;,17;,3;2,8;,034;33;125;,99152;3,03;,49;10,4;4
6,7;,18;,31;10,6;,035;42;143;,99572;3,08;,49;9,8;5
6,3;,27;,51;7,6;,049;35;200;,99548;3,16;,54;9,4;2
6,1;,24;,26;1,7;,033;61;134;,9903;3,19;,81;11,9;5
6,9;,27;,25;7,5;,03;18;117;,99116;3,09;,38;13;4
6,5;,29;,53;1,7;,04;41;192;,9922;3,26;,59;10,4;5
6,5;,29;,52;1,7;,034;41;193;,99223;3,25;,59;10,4;4
6,1;,24;,26;1,7;,033;61;134;,9903;3,19;,81;11,9;5
5,6;,23;,25;8;,043;31;101;,99429;3,19;,42;10,4;4
7;,32;,29;7,6;,025;35;124;,99162;3,15;,65;12,8;5
6,8;,11;,27;8,6;,044;45;104;,99454;3,2;,37;9,9;4
6,1;,2;,17;1,6;,048;46;129;,991;3,3;,43;11,4;4
6,8;,11;,27;8,6;,044;45;104;,99454;3,2;,37;9,9;4
7,3;,23;,41;14,6;,048;73;223;,99863;3,16;,71;9,4;4
6,9;,2;,41;1,1;,06;36;104;,99317;2,99;,39;9,2;3
6,7;,19;,32;3,7;,041;26;76;,99173;2,9;,57;10,5;5
6,7;,28;,34;8,9;,048;32;111;,99455;3,25;,54;11;5
6,7;,28;,34;8,9;,048;32;111;,99455;3,25;,54;11;5
8;,37;,31;4,7;,038;3;127;,99186;2,9;,72;12,1;3
6,7;,28;,34;8,9;,048;32;111;,99455;3,25;,54;11;5
6,4;,24;,49;5,8;,053;25;120;,9942;3,01;,98;10,5;4
6,4;,24;,49;5,8;,053;25;120;,9942;3,01;,98;10,5;4
6,4;,24;,49;5,8;,053;25;120;,9942;3,01;,98;10,5;4
6,1;,25;,48;15,8;,052;25;94;,99782;3,07;,45;9,2;4
6,5;,38;,26;5,2;,042;33;112;,99067;3,06;,5;12,3;5
6,8;,14;,35;1,5;,047;40;117;,99111;3,07;,72;11,1;4
6,4;,25;,57;1;,062;21;122;,99238;3;,4;9,5;3
6,8;,22;,32;5,9;,054;40;152;,9938;3,2;,57;10,8;4
6,4;,24;,49;5,8;,053;25;120;,9942;3,01;,98;10,5;4
6,5;,18;,48;18;,054;56;183;1,00038;2,98;,61;8,5;4
6,2;,32;,12;4,8;,054;6;97;,99424;3,16;,5;9,3;3
7,2;,4;,24;8,5;,055;45;151;,99626;3,2;,52;9,2;3
6,2;,32;,12;4,8;,054;6;97;,99424;3,16;,5;9,3;3
6,4;,37;,12;5,9;,056;6;91;,99536;3,06;,46;8,4;2
7,6;,19;,37;13,1;,033;52;151;,99726;3,18;,79;10,4;4
6;,28;,27;4,1;,046;50;147;,99126;3,27;,56;11,6;4
6,2;,32;,45;2,9;,029;37;94;,98998;3,25;,6;12,4;4
7,6;,19;,37;13,1;,033;52;151;,99726;3,18;,79;10,4;4
6,4;,26;,26;1,1;,052;22;176;,99304;3,09;,54;9,3;3
5,9;,25;,27;1,5;,029;37;81;,9892;3,2;,46;12,2;4
6,1;,28;,3;7,75;,031;33;139;,99296;3,22;,46;11;4
6,9;,19;,38;1,15;,023;30;105;,99047;3,11;,38;11,4;3
6,4;,29;,57;1;,06;15;120;,9924;3,06;,41;9,5;3
7,5;,26;,38;5,7;,021;23;125;,99338;3,13;,62;11,1;4
6,4;,2;,22;7,4;,032;53;172;,99404;3,24;,58;11;4
7,3;,33;,22;1,4;,041;40;177;,99287;3,14;,48;9,9;3
7,3;,34;,22;1,4;,044;43;176;,99286;3,14;,46;9,9;3
6,4;,29;,57;1;,06;15;120;,9924;3,06;,41;9,5;3
6,1;1,1;,16;4,4;,033;8;109;,99058;3,35;,47;12,4;2
6,3;,24;,29;1,6;,052;48;185;,9934;3,21;,5;9,4;3
6,2;,24;,22;7,9;,053;45;149;,99545;3,23;,52;9,3;3
7,4;,16;,27;15,5;,05;25;135;,9984;2,9;,43;8,7;5
7,4;,16;,27;15,5;,05;25;135;,9984;2,9;,43;8,7;5
7,4;,16;,27;15,5;,05;25;135;,9984;2,9;,43;8,7;5
7,2;,17;,28;17,55;,05;33;154;,99971;2,94;,43;9;5
6,9;,19;,35;13,5;,038;49;118;,99546;3;,63;10,7;4
6,9;,19;,35;13,5;,038;49;118;,99546;3;,63;10,7;4
7,4;,16;,27;15,5;,05;25;135;,9984;2,9;,43;8,7;5
6,8;,3;,27;11,6;,028;22;97;,99314;2,96;,38;11,7;4
6,2;,24;,22;7,9;,053;45;149;,99545;3,23;,52;9,3;3
7,4;,16;,27;15,5;,05;25;135;,9984;2,9;,43;8,7;5
7,2;,17;,28;17,55;,05;33;154;,99971;2,94;,43;9;5
6,8;,3;,27;11,6;,028;22;97;,99314;2,96;,38;11,7;4
6,5;,43;,18;13,15;,032;25;131;,99565;3,23;,51;10,7;3
6,6;,17;,36;1,9;,036;38;110;,99056;3,05;,54;11,4;4
6,9;,19;,35;13,5;,038;49;118;,99546;3;,63;10,7;4
6,8;,16;,36;1,3;,034;32;98;,99058;3,02;,58;11,3;4
6,4;,41;,01;6,1;,048;20;70;,99362;3,19;,42;10;3
6,4;,41;,01;6,1;,048;20;70;,99362;3,19;,42;10;3
7,4;,36;,32;1,9;,036;27;119;,99196;3,15;,49;11,2;4
5,5;,28;,21;1,6;,032;23;85;,99027;3,42;,42;12,5;3
6,6;,5;,26;11,3;,029;32;110;,99302;3,27;,78;12,9;6
7,1;,44;,27;8,4;,057;60;160;,99257;3,16;,36;11,8;4
6,9;,38;,28;8,3;,062;22;166;,99506;3,16;,72;10,6;3
6,2;,24;,28;12,2;,049;54;133;,9952;3,19;,37;10,7;4
7,6;,26;,32;1,3;,048;23;76;,9903;2,96;,46;12;4
7,5;,16;,38;12,7;,043;70,5;163;,99706;3,15;,82;10,4;5
6,5;,36;,16;1,3;,054;11;107;,99398;3,19;,39;8,5;3
6,6;,35;,19;10,5;,06;15;82;,99588;3,13;,38;9,9;2
7,4;,37;,26;9,6;,05;33;134;,99608;3,13;,46;10,4;3
5,7;,25;,21;1,5;,044;21;108;,99142;3,3;,59;11;4
5,4;,265;,28;7,8;,052;27;91;,99432;3,19;,38;10,4;4
5,7;,25;,27;10,8;,05;58;116;,99592;3,1;,5;9,8;4
5,9;,23;,28;8,6;,046;37;142;,99432;3,23;,53;10,6;4
6,2;,3;,32;1,2;,052;32;185;,99266;3,28;,44;10,1;3
6,5;,33;,24;14,5;,048;20;96;,99456;3,06;,3;11,5;6
7,4;,26;,29;3,7;,048;14;73;,9915;3,06;,45;11,4;4
7;,2;,4;1,1;,058;30;93;,99322;3,03;,38;9,2;4
6,5;,21;,42;1,1;,059;33;101;,9927;3,12;,38;9,7;4
6,7;,24;,3;10,2;,07;44;179;,99666;2,86;,46;8,9;4
6,4;,14;,28;7,9;,057;21;82;,99425;3,26;,36;10;4
6,4;,5;,2;2,4;,059;19;112;,99314;3,18;,4;9,2;4
6,6;,41;,27;10,7;,11;20;103;,99672;3,08;,41;9;4
6,4;,25;,28;4,9;,03;29;98;,99024;3,09;,58;12,8;5
6,6;,41;,27;10,7;,11;20;103;,99672;3,08;,41;9;4
8;,25;,35;1,1;,054;13;136;,99366;3,08;,55;9,5;3
6,4;,14;,28;7,9;,057;21;82;,99425;3,26;,36;10;4
6,4;,5;,2;2,4;,059;19;112;,99314;3,18;,4;9,2;4
6,3;,29;,23;14,2;,037;24;99;,99528;3,08;,38;10,6;4
6,9;,37;,23;9,5;,057;54;166;,99568;3,23;,42;10;3
5,7;,31;,28;4,1;,03;22;86;,99062;3,31;,38;11,7;5
6,9;,45;,27;4,7;,035;17;80;,99058;3,12;,36;12,5;5
6,9;,3;,45;1,4;,039;36;122;,99059;3,07;,47;11,1;5
5,3;,23;,56;,9;,041;46;141;,99119;3,16;,62;9,7;3
6,8;,3;,26;20,3;,037;45;150;,99727;3,04;,38;12,3;4
6,7;,28;,42;3,5;,035;43;105;,99021;3,18;,38;12,2;4
5;,255;,22;2,7;,043;46;153;,99238;3,75;,76;11,3;4
7,6;,4;,27;1,2;,053;23;193;,99164;3,22;,38;11,6;3
5,5;,21;,25;1,2;,04;18;75;,99006;3,31;,56;11,3;4
6,1;,17;,29;1,1;,041;32;92;,99036;3,26;,57;11,2;4
7,3;,26;,32;1,2;,041;29;94;,98978;3,07;,45;12;4
6,2;,35;,2;18,1;,069;33;158;,99908;3,15;,5;8,8;4
6,2;,35;,2;18,1;,069;33;158;,99908;3,15;,5;8,8;4
6,5;,43;,31;3,6;,046;19;143;,99022;3,15;,34;12;6
7,4;,28;,5;12,1;,049;48;122;,9973;3,01;,44;9;3
6,3;,23;,22;17,45;,054;42;151;,99853;3,12;,6;9,3;4
6,6;,44;,32;3;,095;13;75;,98954;3,1;,63;12,8;4
6;,13;,36;1,6;,052;23;72;,98974;3,1;,5;11,5;5
6,3;,17;,23;5,7;,048;44;147;,99382;3,08;,54;10;3
6,3;,18;,22;5,6;,047;45;147;,99383;3,09;,54;10;3
6,6;,33;,32;15,6;,054;62;227;,99734;3,25;,56;10,4;3
6,8;,29;,32;1,8;,032;18;130;,99095;3,05;,62;11,2;4
7,4;,31;,26;8,6;,048;47;206;,9964;3,26;,36;9,1;3
5,7;,25;,27;11,5;,04;24;120;,99411;3,33;,31;10,8;4
6,8;,27;,28;7,8;,038;26;89;,9915;3,24;,34;12,5;4
5,9;,26;,24;2,4;,046;27;132;,99234;3,63;,73;11,3;3
5,9;,65;,23;5;,035;20;128;,99016;3,46;,48;12,8;4
6,6;,23;,32;1,5;,041;8;72;,98949;3,22;,39;12,7;4
6,8;,18;,35;5,4;,054;53;143;,99287;3,1;,54;11;5
6,8;,28;,29;11,9;,052;51;149;,99544;3,02;,58;10,4;4
6,8;,28;,29;11,9;,052;51;149;,99544;3,02;,58;10,4;4
5,9;,27;,27;9;,051;43;136;,9941;3,25;,53;10,7;4
6,1;,25;,28;10;,055;56;131;,994;3,22;,35;10,9;4
6,8;,28;,29;11,9;,052;51;149;,99544;3,02;,58;10,4;4
7,1;,13;,29;15,5;,064;56;115,5;,99737;3,16;,41;9,7;5
6,8;,18;,35;5,4;,054;53;143;,99287;3,1;,54;11;5
6,2;,2;,25;15;,055;8;120;,99767;3,19;,53;9,6;4
5,8;,24;,28;1,4;,038;40;76;,98711;3,1;,29;13,9;5
7,4;,26;,32;3,7;,032;29;193;,99134;3,1;,67;12,5;4
6,2;,2;,25;15;,055;8;120;,99767;3,19;,53;9,6;4
6,1;,3;,47;1,4;,049;50;187;,9927;3,19;,45;9,5;3
6,2;,32;,5;6,5;,048;61;186;,9948;3,19;,45;9,6;3
6,1;,3;,47;1,4;,049;50;187;,9927;3,19;,45;9,5;3
6,3;,34;,52;6,3;,047;63;186;,99481;3,18;,44;9,6;3
7,4;,16;,3;13,7;,056;33;168;,99825;2,9;,44;8,7;5
7,4;,16;,3;13,7;,056;33;168;,99825;2,9;,44;8,7;5
7,4;,16;,3;13,7;,056;33;168;,99825;2,9;,44;8,7;5
7,4;,16;,3;13,7;,056;33;168;,99825;2,9;,44;8,7;5
7,2;,26;,38;1,5;,061;12;120;,99192;3,18;,46;10,4;3
7;,31;,35;1,6;,063;13;119;,99184;3,22;,5;10,7;3
6,6;,22;,35;1,4;,05;23;83;,99019;3,17;,48;12;5
6;,19;,26;1,4;,039;30;104;,98998;3,32;,41;12,4;4
6,7;,21;,34;1,5;,035;45;123;,98949;3,24;,36;12,6;5
7,4;,16;,3;13,7;,056;33;168;,99825;2,9;,44;8,7;5
6,3;,24;,22;11,9;,05;65;179;,99659;3,06;,58;9,3;4
6,8;,24;,33;3,2;,049;68;161;,99324;3,1;,69;10,2;4
6,4;,25;,33;1,7;,037;35;113;,99164;3,23;,66;10,6;4
5,8;,19;,33;4,2;,038;49;133;,99107;3,16;,42;11,3;5
6,5;,31;,61;13;,053;31;123;,99708;3,09;,5;9,3;4
